sched_type,preemption_interval_us,throughput,proportion_long_jobs,num_short,num_long,short_0_pct,short_25_pct,short_50_pct,short_75_pct,short_90_pct,short_99_pct,short_99.9_pct,short_100_pct,long_0_pct,long_25_pct,long_50_pct,long_75_pct,long_90_pct,long_99_pct,long_99.9_pct,long_100_pct
dFCFS,0,5000,0.01,24746,254,1.257000,1.802000,2.583000,3.070750,5.740000,6.886550,13.603905,366.882000,1000.314000,1000.967250,1001.628000,1002.178750,1004.847500,1008.417320,1072.378970,1084.652000
dFCFS,0,5000,0.5,12427,12573,1.235000,1.780000,2.493000,2.866500,5.263000,6.958220,1995.998094,2991.978000,1000.255000,1000.797000,1001.486000,1001.883000,1004.315800,1009.371760,2994.265212,7265.408000
dFCFS,0,10000,0.01,49506,494,1.191000,1.841000,2.585000,3.084000,5.797000,6.937950,12.579135,610.123000,1000.292000,1000.809000,1001.622000,1002.096000,1005.035100,1011.534130,26679.958434,50968.620000
dFCFS,0,10000,0.5,25142,24858,1.195000,2.158000,2.536000,2.874000,7.005700,109.878990,437.997003,1007.349000,1000.175000,1001.176000,1001.547000,1001.885000,1006.667900,1151.037470,1502.121184,30113.149000
dFCFS,0,15000,0.01,74313,687,1.181000,1.826000,2.563000,3.025000,5.775000,7.966800,63.310816,569.703000,1000.251000,1000.845500,1001.571000,1002.102500,1004.863800,1006.234720,1126.584126,1285.365000
dFCFS,0,15000,0.5,37638,37362,1.196000,7.028750,204.187000,476.049250,822.450300,1809.695780,2689.943259,3177.754000,1000.135000,1005.114750,1202.276000,1472.442750,1818.158200,2816.645160,3688.293543,7931.696000
dFCFS,0,20000,0.01,99018,982,1.158000,1.850000,2.519000,2.949000,5.533300,6.876660,18.476152,902.253000,1000.265000,1000.938500,1001.551500,1002.000500,1004.636100,1006.805170,1397.877896,1409.438000
dFCFS,0,20000,0.5,49884,50116,1.390000,303128.409250,628640.541500,955558.999750,1154010.241800,1269542.349100,1279341.495532,1279929.188000,1000.362000,309769.687750,633688.771000,956681.271500,1153861.680000,1269851.042950,1280027.543650,1280816.297000
cFCFS,500,5000,0.01,24747,253,1.246000,1.799000,2.554000,2.973500,5.105400,6.625620,12.239920,452.460000,1000.367000,1001.250000,1001.806000,1004.200000,1017.668600,1032.836320,1128.582632,1160.003000
cFCFS,500,5000,0.5,12366,12634,1.230000,1.750250,2.394500,2.730000,3.476500,6.265450,43.106875,999.099000,1000.202000,1001.067000,1001.587000,1004.520500,1026.718600,1173.583520,1475.956800,10137.846000
cFCFS,500,10000,0.01,49507,493,1.202000,1.779000,2.505000,2.901000,4.997400,6.407000,14.214616,397.970000,1000.307000,1001.269000,1001.738000,1004.687000,1018.222200,1032.182400,1528.130972,1755.464000
cFCFS,500,10000,0.5,25080,24920,1.214000,1.973000,2.451000,2.711000,4.328100,487.860040,9011.353499,10418.988000,1000.202000,1001.231000,1001.639000,1010.299500,1122.087800,2034.228710,10324.028728,22520.484000
cFCFS,500,15000,0.01,74271,729,1.150000,1.769000,2.503000,2.902000,4.937000,6.430000,14.537960,423.306000,1000.304000,1001.138000,1001.726000,1004.309000,1017.734400,1030.921360,1300.228136,1315.744000
cFCFS,500,15000,0.5,37590,37410,1.182000,2.447000,2.790000,48.265750,165.445000,425.157030,708.530419,1124.604000,1000.200000,1001.591000,1012.751500,1147.532250,1285.101500,1508.446560,1765.081846,22122.921000
cFCFS,500,20000,0.01,99014,986,1.146000,1.775000,2.463000,2.855000,4.624000,7.025000,15.723908,1001.720000,1000.249000,1000.944000,1001.630000,1003.689250,1015.825500,1037.149100,1385.760375,1531.171000
